Disciples of the state? : religion and state-building in the former Ottoman world , Kristin Fabbe.d.,,2019,Religion and state--Egypt.; Nation-building--Egypt.; Religion and state--Greece.; Nation-building--Greece.; Religion and state--Turkey.; Nation-building--Turkey.
wall : a novel , John Lanchester.,First American edition.,2019,Dystopias--Fiction.; Climatic changes--Fiction.; Islands--Fiction.; Border security--Fiction.; FICTION / Literary.; FICTION / Political.; FICTION / Dystopian.; Border security.; Climatic changes; Islands.; Fiction.; Dystopian fiction.; Dystopias.
Thick : and other essays , Tressie McMillan Cottom.,,2019,"Women sociologists--United States--Biography.; Sociologists--United States--Biography.; African American sociologists--Biography.; Women, Black--United States--Biography.; African American women--Biography.; United States--Race relations--History--21st century.; United States--Social conditions--21st century.; African Americans--Social conditions--21st century.; Women, Black.; Women sociologists.; United States; SOCIAL SCIENCE / Essays.; SOCIAL SCIENCE / Feminism & Feminist Theory.; SOCIAL SCIENCE / Popular Culture.; Biography.; Autobiographies."
Urban warfare : housing under the empire of finance , Raquel Rolnik ; introduction by David Harvey.,,2019,"Global Financial Crisis (2008-2009); Real estate development.; City planning--Social aspects; Housing policy--Brazil.; Real estate development--Brazil.; City planning--Social aspects--Brazil.; Housing--Economic aspects--Case studies.; City planning--Economic aspects--Case studies.; Housing policy--Case studies.; Global Financial Crisis, 2008-2009--Influence.; City planning--Economic aspects.; Housing--Economic aspects.; Housing policy.; Influence (Literary, artistic, etc.); 2008-2009; Case studies."
Horizon , Barry Lopez.,First edition.,2019,"Lopez, Barry Holstun,--1945---Travel.; Lopez, Barry Holstun,--1945-; Authors, American--20th century--Biography.; Authors, American.; Travel.; Travel--Social aspects.; TRAVEL / Essays & Travelogues.; 1900-1999; Biography.; Travel writing."
Once more we saw stars , Jayson Greene.,First edition.,2019,"Greene, Jayson--Family.; Bereavement--Psychological aspects.; Children--Death--Psychological aspects.; Families.; BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs.; FAMILY & RELATIONSHIPS / Death, Grief, Bereavement.; FAMILY & RELATIONSHIPS / Parenting / Fatherhood."
octopus museum : poems , Brenda Shaughnessy.,First Edition.,2019,POETRY--American--General.; Poetry.
"Our history is the future : Standing Rock versus the Dakota Access Pipeline, and the long tradition of Indigenous resistance ", Nick Estes.,,2019,Indians of North America--Land tenure--Standing Rock Indian Reservation (N.D. and S.D.); Indians of North America--Standing Rock Indian Reservation (N.D. and S.D.)--Politics and government.; Petroleum pipelines--Standing Rock Indian Reservation (N.D. and S.D.); Environmental justice--Standing Rock Indian Reservation (N.D. and S.D.); Indian activists--Standing Rock Indian Reservation (N.D. and S.D.); Environmental justice.; Indian activists.; Indians of North America--Land tenure.; Indians of North America--Politics and government.; Petroleum pipelines.; United States--Standing Rock Indian Reservation
Queenie : a novel , Candice Carty-Williams.,First Scout Press hardcover edition.,2019,Jamaicans--England--London--Fiction.; Women--Identity--Fiction.; FICTION / Contemporary Women.; FICTION / Literary.; FICTION / African American / Contemporary Women.; Jamaicans.; Women--Identity.; London (England); Fiction.; Psychological fiction.
"thirty-year genocide : Turkey's destruction of its Christian minorities, 1894-1924 ", Benny Morris & Dror Ze'evi.,,2019,"Religious minorities--Turkey--History--19th century.; Religious minorities--Turkey--History--20th century.; Genocide--Turkey--Religious aspects--Christianity.; Genocide--Turkey--History--19th century.; Genocide--Turkey--History--20th century.; Christians--Turkey--History--19th century.; Christians--Turkey--History--20th century.; Persecution--Turkey--History--19th century.; Persecution--Turkey--History--20th century.; Armenian question.; Armenian question; Christians.; Genocide.; Kemalism; Persecution.; Religious minorities.; Minorités religieuses--Histoire--Turquie.; Arméniens, Massacres des (1894-1896); Question arménienne; Persécutions--Turquie--20e siècle.; Politique et gouvernemen--Turquie--20e siècle.; Turkey; History; 1800-1999er"
Imperiled destinies : the Daoist quest for deliverance in medieval China , Franciscus Verellen.,,2019,Taoism--China--History--To 1500.; Taoism--Rituals--History.; Salvation--Taoism.; Taoism.; Taoism--Rituals.; China; To 1500; History.
